Cumulative Failure Count,Time Between Failure,Cumulative Time
1,0.5000,0.5000
2,0.5000,1.0000
3,0.0909,1.0909
4,0.0909,1.1818
5,0.0909,1.2727
6,0.0909,1.3636
7,0.0909,1.4545
8,0.0909,1.5455
9,0.0909,1.6364
10,0.0909,1.7273
11,0.0909,1.8182
12,0.0909,1.9091
13,0.0909,2.0000
14,0.5000,2.5000
15,0.5000,3.0000
16,0.2500,3.2500
17,0.2500,3.5000
18,0.2500,3.7500
19,0.2500,4.0000
20,0.3333,4.3333
21,0.3333,4.6667
22,0.3333,5.0000
23,1.0000,6.0000
24,1.0000,7.0000
25,0.5000,7.5000
26,0.5000,8.0000
27,0.2500,8.2500
28,0.2500,8.5000
29,0.2500,8.7500
30,0.2500,9.0000
31,0.2500,9.2500
32,0.2500,9.5000
33,0.2500,9.7500
34,0.2500,10.0000
35,1.0000,11.0000
36,0.3333,11.3333
37,0.3333,11.6667
38,0.3333,12.0000
39,1.0000,13.0000
40,1.0000,14.0000
41,0.5000,14.5000
42,0.5000,15.0000
43,1.0000,16.0000
44,0.1250,16.1250
45,0.1250,16.2500
46,0.1250,16.3750
47,0.1250,16.5000
48,0.1250,16.6250
49,0.1250,16.7500
50,0.1250,16.8750
51,0.1250,17.0000
52,0.1111,17.1111
53,0.1111,17.2222
54,0.1111,17.3333
55,0.1111,17.4444
56,0.1111,17.5556
57,0.1111,17.6667
58,0.1111,17.7778
59,0.1111,17.8889
60,0.1111,18.0000
61,0.1667,18.1667
62,0.1667,18.3333
63,0.1667,18.5000
64,0.1667,18.6667
65,0.1667,18.8333
66,0.1667,19.0000
67,0.1429,19.1429
68,0.1429,19.2857
69,0.1429,19.4286
70,0.1429,19.5714
71,0.1429,19.7143
72,0.1429,19.8571
73,0.1429,20.0000
74,0.2500,20.2500
75,0.2500,20.5000
76,0.2500,20.7500
77,0.2500,21.0000
78,0.3333,21.3333
79,0.3333,21.6667
80,0.3333,22.0000
81,0.2500,22.2500
82,0.2500,22.5000
83,0.2500,22.7500
84,0.2500,23.0000
85,1.0000,24.0000
86,0.5000,24.5000
87,0.5000,25.0000
88,0.5000,25.5000
89,0.5000,26.0000
90,0.3333,26.3333
91,0.3333,26.6667
92,0.3333,27.0000
